1.337E2,7.969E-1,?,6.363E2,1.635E-3,1.194E-1,?,1.09E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,7.905E-2,2.24E-1,2.734E-2,2.281E-1,2.211E-1,-1.267E-1,-5.61E-2,9.653E-2,6.172E-3,0E0,6.467E-1,1.332E2,4.432E3,-2.877E3,3.737E7,If You Leave Me Now,Romantic Strings,Instrumental,C,216306,128,100
1.466E2,8.945E-1,?,7.579E2,1.003E-3,1.179E-1,?,1.21E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,1.087E-1,1.636E-2,1.253E-1,4.823E-2,6.35E-2,-2.871E-2,3.163E-2,8.164E-2,1.291E-2,0E0,5.005E-1,1.371E2,5.637E3,-9.417E4,5.559E7,If You Leave Me Now,Romantic Strings,Instrumental,C,216306,128,100
1.314E2,7.734E-1,?,7.286E2,1.449E-3,1.077E-1,?,1.02E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,4.038E-3,1.586E-1,-3.693E-2,-9.995E-2,6.087E-2,-8.209E-3,-1.001E-1,-1.12E-1,1.176E-1,0E0,6.317E-1,1.276E2,4.625E3,-4.293E4,4.475E7,If You Leave Me Now,Romantic Strings,Instrumental,C,216306,128,100
1.561E2,8.438E-1,?,5.698E2,1.694E-3,1.342E-1,?,1.21E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,2.724E-1,3.668E-2,-9.1E-2,1.83E-1,-1.72E-1,7.193E-2,4.179E-2,-2.072E-2,-6.413E-2,0E0,7.692E-1,1.42E2,4.922E3,-1.187E5,4.639E7,I say little prayer,20th century Film Orchestra,Instrumental,C,189844,128,195
1.358E2,8.672E-1,?,7.014E2,1.353E-3,1.326E-1,?,1.13E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,9.199E-3,-8.463E-2,7.267E-2,1.966E-1,2.789E-2,-1.103E-1,2.951E-2,-8.572E-3,1.306E-2,0E0,6.545E-1,1.315E2,5.5E3,-1.684E4,5.275E7,I say little prayer,20th century Film Orchestra,Instrumental,C,189844,128,195
1.295E2,8.945E-1,?,5.493E2,1.014E-3,1.128E-1,?,1.22E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,1.804E-1,-3.588E-2,-9.278E-2,-8.624E-2,-3.745E-2,-2.367E-2,-5.721E-2,5.195E-2,-9.148E-2,0E0,5.123E-1,1.272E2,6.374E3,-1.442E4,6.868E7,I say little prayer,20th century Film Orchestra,Instrumental,C,189844,128,195
1.531E2,8.594E-1,?,5.472E2,1.573E-3,1.218E-1,?,1.18E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,1.859E-1,6.297E-2,-9.055E-2,1.206E-1,8.662E-2,3.122E-2,4.215E-2,-1.465E-2,2.212E-2,0E0,8.129E-1,1.42E2,4.947E3,-9.139E4,4.644E7,All by myself,Javier Ricardo,Instrumental,C,299271,128,185
1.283E2,8.633E-1,?,8.941E2,6.589E-4,7.04E-2,?,1.18E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,8.871E-2,-2.038E-1,1.021E-2,-7.78E-2,-7.83E-2,1.077E-1,-4.471E-2,6.123E-2,-1.839E-2,0E0,3.14E-1,1.28E2,5.874E3,-5.153E3,5.81E7,All by myself,Javier Ricardo,Instrumental,C,299271,128,185
1.224E2,7.891E-1,?,6.291E2,1.292E-3,1.114E-1,?,9.8E1,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-9.978E-2,1.651E-1,-9.602E-3,1.519E-1,-8.754E-2,-9.485E-3,-4.268E-2,-7.168E-3,8.148E-2,0E0,6.532E-1,1.25E2,5.308E3,-1.377E4,5.093E7,All by myself,Javier Ricardo,Instrumental,C,299271,128,185
1.187E2,8.008E-1,?,5.727E2,1.511E-3,1.369E-1,?,1.18E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,5.187E-2,-1.201E-1,-3.021E-2,1.246E-1,-8.964E-2,1.157E-1,2.881E-2,-2.121E-1,-7.597E-2,0E0,7.762E-1,1.223E2,5.849E3,2.255E4,5.823E7,Something Stupid,Paco Nula,Instrumental,C,179056,128,185
1.174E2,7.578E-1,?,6.632E2,1.51E-3,1.267E-1,?,1.11E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-3.98E-2,1.627E-1,4.736E-2,-5.656E-2,-1.877E-1,4.703E-2,2.112E-2,-7.724E-2,2.124E-2,0E0,6.824E-1,1.225E2,4.962E3,2.154E4,4.722E7,Something Stupid,Paco Nula,Instrumental,C,179056,128,185
